iter	Passed	Remaining
0	132	65987
1	137	34191
2	143	23712
3	149	18477
4	156	15500
5	162	13385
6	169	11925
7	176	10824
8	183	9993
9	191	9404
10	198	8840
11	204	8321
12	209	7851
13	213	7417
14	219	7089
15	225	6833
16	230	6552
17	236	6344
18	241	6101
19	245	5898
20	251	5726
21	255	5546
22	258	5367
23	262	5196
24	265	5037
25	268	4887
26	270	4737
27	272	4595
28	275	4468
29	277	4348
30	280	4238
31	282	4132
32	284	4030
33	287	3934
34	289	3847
35	291	3763
36	294	3681
37	296	3607
38	299	3534
39	301	3463
40	303	3396
41	305	3335
42	308	3274
43	310	3218
44	312	3163
45	315	3109
46	317	3057
47	319	3009
48	321	2962
49	324	2918
50	326	2875
51	328	2833
52	331	2792
53	333	2753
54	335	2715
55	337	2678
56	340	2643
57	343	2615
58	345	2585
59	348	2555
60	350	2525
61	353	2496
62	356	2473
63	359	2447
64	362	2427
65	365	2402
66	367	2375
67	369	2349
68	372	2324
69	374	2301
70	376	2277
71	379	2252
72	381	2229
73	383	2207
74	385	2186
75	388	2165
76	390	2145
77	392	2125
78	395	2105
79	397	2088
80	400	2070
81	402	2051
82	405	2035
83	407	2017
84	409	2000
85	411	1982
86	414	1965
87	416	1949
88	418	1934
89	421	1920
90	423	1904
91	425	1889
92	428	1874
93	430	1858
94	432	1844
95	436	1836
96	438	1822
97	440	1808
98	443	1794
99	445	1780
100	447	1768
101	450	1755
102	453	1747
103	455	1735
104	457	1721
105	460	1710
106	462	1698
107	464	1686
108	467	1675
109	469	1665
110	472	1655
111	474	1643
112	476	1633
113	479	1623
114	481	1612
115	484	1603
116	486	1593
117	488	1582
118	491	1572
119	493	1563
120	496	1553
121	498	1543
122	500	1534
123	503	1525
124	505	1515
125	507	1506
126	509	1497
127	511	1487
128	514	1479
129	516	1470
130	519	1462
131	521	1453
132	523	1444
133	525	1435
134	527	1427
135	530	1418
136	532	1411
137	534	1403
138	537	1394
139	539	1387
140	542	1380
141	544	1371
142	546	1365
143	549	1357
144	551	1349
145	553	1342
146	555	1334
147	558	1327
148	560	1319
149	562	1313
150	565	1305
151	567	1298
152	569	1292
153	572	1285
154	574	1278
155	576	1271
156	579	1265
157	581	1258
158	583	1252
159	585	1245
160	588	1238
161	590	1231
162	592	1224
163	594	1218
164	597	1212
165	599	1206
166	602	1200
167	604	1194
168	606	1187
169	608	1181
170	611	1176
171	613	1170
172	615	1163
173	617	1157
174	620	1151
175	622	1146
176	624	1139
177	627	1134
178	629	1128
179	631	1122
180	633	1117
181	636	1111
182	638	1106
183	640	1100
184	643	1095
185	645	1090
186	648	1084
187	650	1079
188	652	1073
189	654	1068
190	656	1062
191	660	1058
192	662	1053
193	664	1048
194	666	1043
195	669	1037
196	671	1032
197	674	1028
198	676	1023
199	678	1018
200	680	1012
201	683	1007
202	685	1002
203	687	997
204	690	994
205	693	989
206	695	984
207	698	979
208	700	975
209	702	970
210	705	966
211	707	961
212	709	956
213	712	951
214	714	947
215	716	942
216	719	938
217	722	934
218	724	930
219	727	925
220	729	920
221	731	916
222	734	911
223	736	907
224	739	903
225	741	899
226	743	894
227	746	890
228	748	885
229	750	881
230	753	876
231	755	872
232	757	868
233	759	863
234	762	859
235	764	855
236	767	851
237	769	847
238	772	843
239	774	838
240	776	834
241	778	830
242	781	826
243	783	822
244	785	818
245	788	813
246	790	809
247	792	805
248	795	801
249	797	797
250	800	793
251	802	789
252	804	785
253	807	781
254	810	778
255	812	774
256	815	770
257	817	767
258	820	763
259	822	759
260	825	755
261	827	751
262	829	747
263	831	743
264	834	739
265	836	735
266	839	732
267	841	728
268	843	724
269	846	720
270	848	717
271	851	713
272	853	709
273	855	705
274	857	701
275	860	698
276	862	694
277	864	690
278	867	686
279	869	683
280	871	679
281	873	675
282	876	671
283	878	668
284	880	664
285	883	660
286	885	657
287	887	653
288	889	649
289	892	645
290	894	642
291	896	638
292	899	635
293	901	631
294	904	628
295	906	625
296	909	621
297	912	618
298	915	615
299	917	611
300	920	608
301	923	605
302	926	602
303	929	599
304	931	595
305	934	592
306	937	589
307	939	585
308	942	582
309	944	579
310	947	575
311	950	572
312	953	569
313	956	566
314	960	563
315	962	560
316	964	556
317	966	553
318	968	549
319	971	546
320	973	543
321	976	539
322	979	536
323	981	533
324	983	529
325	985	526
326	988	522
327	991	519
328	993	516
329	996	513
330	998	509
331	1000	506
332	1003	503
333	1005	499
334	1008	496
335	1011	493
336	1013	490
337	1015	486
338	1018	483
339	1021	480
340	1024	477
341	1026	474
342	1028	470
343	1031	467
344	1033	464
345	1036	461
346	1038	458
347	1041	454
348	1043	451
349	1045	448
350	1047	444
351	1050	441
352	1052	438
353	1054	435
354	1057	431
355	1059	428
356	1061	425
357	1064	422
358	1066	418
359	1068	415
360	1071	412
361	1074	409
362	1076	406
363	1078	403
364	1080	399
365	1083	396
366	1086	393
367	1088	390
368	1090	387
369	1092	384
370	1095	380
371	1097	377
372	1099	374
373	1102	371
374	1104	368
375	1106	365
376	1109	361
377	1111	358
378	1113	355
379	1115	352
380	1118	349
381	1121	346
382	1123	343
383	1125	340
384	1127	336
385	1130	333
386	1133	330
387	1135	327
388	1137	324
389	1139	321
390	1142	318
391	1144	315
392	1146	312
393	1149	309
394	1151	306
395	1154	303
396	1156	300
397	1158	296
398	1161	293
399	1163	290
400	1166	287
